title,url,discount_price,original_price,User-Agent
Light Controlled Square LED Wall Night Lamp Bedroom Night Light HLT-506114,https://www.tinydeal.com/light-controlled-square-led-wall-night-lamp-bedroom-night-light-p-158312.html,$1.92,$4.71 ,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36"
USB2.0 802.11 b/ g/ n 150Mbps Wireless Adapter with Antenna CNP-150792,https://www.tinydeal.com/usb20-80211-b-g-n-150mbps-wireless-adapter-with-antenna-p-81238.html,$4.40,$5.73 ,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36"
18g Super Strong Sealant Fix Metal Adhesive Sealing Glue Bond HHI-557389,https://www.tinydeal.com/18g-super-strong-sealant-fix-metal-adhesive-sealing-glue-bond-p-177571.html,$1.09,$3.59 ,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36"
Bluetooth 4.2 Magnetic Wireless Earbuds with 2 Pair of Ear Sleeves EEP-560851,https://www.tinydeal.com/bluetooth-42-magnetic-wireless-earbuds-with-2-pair-of-ear-sleeves-p-178665.html,$3.04,$5.91 ,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36"
1/2/5/10 pcs Teflon Gas Hob Oil Protector Liner Reusable Stove Clean Mat Pad HHI-549769,https://www.tinydeal.com/12510-pcs-teflon-gas-hob-oil-protector-liner-reusable-stove-clean-mat-pad-p-175005.html,$1.38,$5.24 ,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36"
6pcs 6-Layer Razor Blades + Shaver Handle HHI-557375,https://www.tinydeal.com/6pcs-6-layer-razor-blades-shaver-handle-p-178095.html,$3.33,$6.38 ,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36"
1/4/10 pcs 3M VHB Double Sided Adhesive Acrylic Foam Tape Scotch Tape RTH-545063,https://www.tinydeal.com/1410-pcs-3m-vhb-double-sided-adhesive-acrylic-foam-tape-scotch-tape--p-173455.html,$1.93,$3.30 ,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36"
FM/ MP3 Wireless Transmitter with Remote Controller for Car RFM-96304,https://www.tinydeal.com/fm-mp3-wireless-transmitter-with-remote-controller-for-car-p-61215.html,$3.48,$4.03 ,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36"
2pcs DC 12V 2W 41mm Festoon 6000K LED Car White Light Lamp RCB-71476,https://www.tinydeal.com/2pcs-dc-12v-2w-41mm-festoon-6000k-led-car-white-light-lamp-p-51560.html,$2.20,$2.36 ,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36"
Original Xiaomi Piston Dazzle Edition Earphones with Mic EEP-455477-C3,https://www.tinydeal.com/original-xiaomi-piston-dazzle-edition-earphones-with-mic-p-160055.html,$5.55,$6.38 ,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36"
Mini Camera SQ11 Night Vision FOV140 1080P DV Video Recorder EVC-558775,https://www.tinydeal.com/mini-camera-sq11-night-vision-fov140-1080p-dv-video-recorder-p-179706.html,$8.34,$15.87 ,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36"
2 Inch HD Screen Kids Mini Digital Camera Chargable Camera Toys Children Gift RTH-572086,https://www.tinydeal.com/2-inch-hd-screen-kids-mini-digital-camera-chargable-camera-toys-children-gift-p-182341.html,$10.69,$11.75 ,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36"
Car MP3 Player with SD/MMC Slot RFM-31092,https://www.tinydeal.com/car-mp3-player-with-sdmmc-slot-p-26057.html,$3.35,$3.97 ,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36"
